alpha,accuracy,precision,recall,f1,preparationTime
0.001,0.7333333333333333,0.7835497835497836,0.711111111111111,0.7187912087912087,0.49577322050911865,0.0020482144444637623
0.01,0.7555555555555555,0.8123376623376624,0.711111111111111,0.7342533936651584,0.5382289452438752,0.002048343333363947
0.1,0.7555555555555555,0.8337662337662337,0.6888888888888889,0.72,0.5452850249385434,0.002048415555651041
1.0,0.7666666666666667,0.8777777777777779,0.6666666666666666,0.7234920634920634,0.5749814392092694,0.002048481111220705
10.0,0.6777777777777778,0.6462515262515262,0.8222222222222222,0.7188372776473463,0.37798646395532315,0.0020485455556707973
