n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
50,10,5,2,gini,0.8404113732607381,0.03964251513324423,0.49754385964912284,0.07088883546032407,0.888888888888889,0.09938079899999065,0.6369523809523809,0.08095271708613687,0.5837630013470078,0.10360730710049514,0.6626658517361648
100,10,5,2,gini,0.8369026013309135,0.035207152222228075,0.49004385964912284,0.0609375490781976,0.888888888888889,0.09938079899999065,0.6309523809523809,0.07308057864478555,0.5774809402152311,0.09551559827805921,0.6626658951388689
200,10,5,2,gini,0.833393829401089,0.03708630995958918,0.4842105263157895,0.06420459420397817,0.888888888888889,0.09938079899999065,0.6262857142857142,0.07663110680795522,0.5720737235284339,0.10006341701713177,0.6626659187500586
50,10,10,2,gini,0.8369026013309135,0.04161733756284911,0.4917105263157895,0.07430728108443119,0.888888888888889,0.09938079899999065,0.6322857142857143,0.08450383399103067,0.5783557846602105,0.10812894583275832,0.6626659406250232
100,10,10,2,gini,0.833393829401089,0.03708630995958918,0.4842105263157895,0.06420459420397817,0.888888888888889,0.09938079899999065,0.6262857142857142,0.07663110680795522,0.5720737235284339,0.10006341701713177,0.662665961458313
200,10,10,2,gini,0.833393829401089,0.03708630995958918,0.4842105263157895,0.06420459420397817,0.888888888888889,0.09938079899999065,0.6262857142857142,0.07663110680795522,0.5720737235284339,0.10006341701713177,0.6626659812500293
50,10,5,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.6626660003471948
100,10,5,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.6626660225694851
200,10,5,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.662666043402775
50,10,10,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.6626660638889411
100,10,10,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.6626660854166807
200,10,10,5,gini,0.8369026013309135,0.035207152222228075,0.49082817337461304,0.06065620638564997,0.9111111111111111,0.08314794192830981,0.6373626373626373,0.06996167460500792,0.5880802041444563,0.08976823243078158,0.6626661045139473
50,20,5,2,gini,0.8404113732607381,0.03964251513324423,0.49754385964912284,0.07088883546032407,0.888888888888889,0.09938079899999065,0.6369523809523809,0.08095271708613687,0.5837630013470078,0.10360730710049514,0.6626661250000123
