n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
100,3,0.01,0.9480338777979431,0.024299847957668593,0.975,0.049999999999999996,0.6888888888888889,0.1632993161855452,0.7938752424046541,0.11606174632490396,0.7887894576503179,0.10529070044585569,0.53034594131936
150,3,0.01,0.951482153660012,0.020047487749653464,1.0,0.0,0.6888888888888889,0.12957670877434,0.8089495798319328,0.08927395869225312,0.8046127851732703,0.08452333004172187,0.5303459968749343
200,3,0.01,0.951482153660012,0.020047487749653464,1.0,0.0,0.6888888888888889,0.12957670877434,0.8089495798319328,0.08927395869225312,0.8046127851732703,0.08452333004172187,0.5303460343748156
100,5,0.01,0.9445251058681186,0.0253850035352535,0.9714285714285713,0.05714285714285716,0.6666666666666667,0.15713484026367722,0.779169360051713,0.11603102779573367,0.7733663457559168,0.10889252321121445,0.530346067361178
150,5,0.01,0.9514216575922566,0.02026717589281048,1.0,0.0,0.6888888888888889,0.12957670877434,0.8089495798319328,0.08927395869225312,0.8045954106238773,0.0846269332955543,0.5303461048610593
200,5,0.01,0.9514216575922566,0.02026717589281048,0.9714285714285713,0.05714285714285716,0.711111111111111,0.11331154474650632,0.81609243697479,0.08259285923652618,0.8048745512807362,0.08433642443708782,0.5303461357636681
100,7,0.01,0.9445251058681186,0.0253850035352535,0.9714285714285713,0.05714285714285716,0.6666666666666667,0.15713484026367722,0.779169360051713,0.11603102779573367,0.7733663457559168,0.10889252321121445,0.5303461680555807
150,7,0.01,0.9514216575922566,0.02026717589281048,1.0,0.0,0.6888888888888889,0.12957670877434,0.8089495798319328,0.08927395869225312,0.8045954106238773,0.0846269332955543,0.5303462013887636
200,7,0.01,0.9514216575922566,0.02026717589281048,0.9714285714285713,0.05714285714285716,0.711111111111111,0.11331154474650632,0.81609243697479,0.08259285923652618,0.8048745512807362,0.08433642443708782,0.530346230902473
100,10,0.01,0.9445251058681186,0.0253850035352535,0.9714285714285713,0.05714285714285716,0.6666666666666667,0.15713484026367722,0.779169360051713,0.11603102779573367,0.7733663457559168,0.10889252321121445,0.5303462652777348
150,10,0.01,0.9514216575922566,0.02026717589281048,1.0,0.0,0.6888888888888889,0.12957670877434,0.8089495798319328,0.08927395869225312,0.8045954106238773,0.0846269332955543,0.5303462989581426
200,10,0.01,0.9514216575922566,0.02026717589281048,0.9714285714285713,0.05714285714285716,0.711111111111111,0.11331154474650632,0.81609243697479,0.08259285923652618,0.8048745512807362,0.08433642443708782,0.5303463305556053
100,3,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303463631943386
150,3,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303463968747464
200,3,0.1,0.9445251058681186,0.016711155889556618,0.9194444444444445,0.06826780959691392,0.711111111111111,0.11331154474650632,0.7958169934640523,0.0723120430430135,0.7768202794869944,0.07603110459321151,0.5303464305555584
100,5,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303464621526169
