n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
50,10,5,2,gini,0.9340592861464005,0.022806295430823412,0.9714285714285715,0.05714285714285716,0.5999999999999999,0.15071844406945042,0.7278571428571429,0.12605473381974733,0.7271414356330366,0.10627538915066469,0.5512689593748897
100,10,5,2,gini,0.951361161524501,0.013006513878162587,1.0,0.0,0.6888888888888889,0.08314794192830981,0.8128571428571428,0.05961611889961523,0.8059634087101003,0.05513091904578082,0.5512690173610382
200,10,5,2,gini,0.9444646098003631,0.027620678730447247,0.9714285714285715,0.05714285714285716,0.6666666666666666,0.17213259316477408,0.775,0.1457737973711325,0.7710923873012108,0.12656525616827646,0.5512690496527486
50,10,10,2,gini,0.9409558378705386,0.01766174383651484,1.0,0.0,0.6222222222222222,0.11331154474650633,0.760934065934066,0.08879644473736215,0.7600662795679766,0.07815592653073515,0.5512690805555596
100,10,10,2,gini,0.937568058076225,0.013525438028229886,1.0,0.0,0.6,0.08888888888888888,0.745934065934066,0.07323134968042984,0.7457121050494585,0.06259933922091976,0.551269107638897
200,10,10,2,gini,0.9272232304900181,0.022640082537405383,1.0,0.0,0.5333333333333333,0.1474055462380178,0.6837912087912088,0.12399943710893582,0.695378685464722,0.10546877349733655,0.551269133333335
50,10,5,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512691576388735
100,10,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512691826388618
200,10,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512692090277496
50,10,10,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512692340277378
100,10,10,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512692597221758
200,10,10,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512692836804894
50,20,5,2,gini,0.9444646098003631,0.020153999625452917,0.9380952380952381,0.0761904761904762,0.6888888888888889,0.08314794192830981,0.7933333333333333,0.07912718313646147,0.7749773575069362,0.08810376254594543,0.5512693072915782
100,20,5,2,gini,0.9548094373865699,0.008749162100322323,0.975,0.049999999999999996,0.7333333333333333,0.054433105395181765,0.8347058823529411,0.03400335827094761,0.8216482867119673,0.034958968803324976,0.5512693326387913
200,20,5,2,gini,0.9479128856624319,0.021909601205650043,0.9714285714285715,0.05714285714285716,0.6888888888888889,0.12957670877434002,0.7980769230769231,0.10338215427473546,0.7891131143740218,0.09574561799793527,0.5512693586804542
50,20,10,2,gini,0.9444041137326075,0.013121372569903846,1.0,0.0,0.6444444444444444,0.0831479419283098,0.7807142857142857,0.060760486623247824,0.7763912275738079,0.05561196451248135,0.5512693909721647
100,20,10,2,gini,0.9375075620084695,0.013788061187661993,1.0,0.0,0.5999999999999999,0.08888888888888888,0.745934065934066,0.07323134968042984,0.7456947305000653,0.06272284307181819,0.5512694170138275
200,20,10,2,gini,0.9341197822141559,0.022750382599532902,1.0,0.0,0.5777777777777777,0.14740554623801777,0.7207142857142858,0.12560872191216726,0.7268868909895414,0.1062695418088821,0.5512694406249162
50,20,5,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512694635415554
100,20,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512694888887685
200,20,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.551269513194307
50,20,10,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512695368055979
100,20,10,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512695607639115
200,20,10,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.55126958506945
50,30,5,2,gini,0.9444646098003631,0.020153999625452917,0.9380952380952381,0.0761904761904762,0.6888888888888889,0.08314794192830981,0.7933333333333333,0.07912718313646147,0.7749773575069362,0.08810376254594543,0.5512696086805389
100,30,5,2,gini,0.9548094373865699,0.008749162100322323,0.975,0.049999999999999996,0.7333333333333333,0.054433105395181765,0.8347058823529411,0.03400335827094761,0.8216482867119673,0.034958968803324976,0.5512696350694265
200,30,5,2,gini,0.9479128856624319,0.021909601205650043,0.9714285714285715,0.05714285714285716,0.6888888888888889,0.12957670877434002,0.7980769230769231,0.10338215427473546,0.7891131143740218,0.09574561799793527,0.5512696597221899
50,30,10,2,gini,0.9444041137326075,0.013121372569903846,1.0,0.0,0.6444444444444444,0.0831479419283098,0.7807142857142857,0.060760486623247824,0.7763912275738079,0.05561196451248135,0.5512696868055273
100,30,10,2,gini,0.9375075620084695,0.013788061187661993,1.0,0.0,0.5999999999999999,0.08888888888888888,0.745934065934066,0.07323134968042984,0.7456947305000653,0.06272284307181819,0.5512697114582907
200,30,10,2,gini,0.9341197822141559,0.022750382599532902,1.0,0.0,0.5777777777777777,0.14740554623801777,0.7207142857142858,0.12560872191216726,0.7268868909895414,0.1062695418088821,0.551269736458279
50,30,5,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512697604165927
100,30,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512697854165809
200,30,5,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.551269810763794
50,30,10,5,gini,0.9097398669086509,0.020121286792493077,0.96,0.07999999999999999,0.4444444444444445,0.12171612389003693,0.5958041958041959,0.12880621617882448,0.6109683099843991,0.10576355229714514,0.5512698350693326
100,30,10,5,gini,0.9062310949788264,0.017932773354238443,0.95,0.09999999999999999,0.42222222222222217,0.08314794192830982,0.5813186813186814,0.09051103420647913,0.5954522888946391,0.09225515886955885,0.5512698600693208
