dt__criterion,dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__max_features,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
entropy,10,5,2,log2,0.1,0.7875409836065573,0.03246402971348656,0.34924242424242424,0.07434285106270966,0.40444444444444444,0.08410751496789139,0.3727527374586198,0.07285503696436127,0.2483261513120681,0.089095343917764
entropy,10,5,2,log2,0.2,0.7842622950819672,0.03893782939781237,0.3356060606060606,0.0991961492854327,0.3844444444444444,0.1195671204650187,0.3563025210084033,0.10380031734433035,0.22984873111894313,0.12570519802298186
entropy,10,5,2,log2,0.30000000000000004,0.7842622950819672,0.03893782939781237,0.3356060606060606,0.0991961492854327,0.3844444444444444,0.1195671204650187,0.3563025210084033,0.10380031734433035,0.22984873111894313,0.12570519802298186
entropy,10,5,2,log2,0.4,0.7942622950819672,0.04464225032967418,0.3558080808080808,0.10823439714826502,0.36444444444444446,0.10255982897079399,0.3579733647845103,0.10008109589405502,0.2372097606877702,0.12668556215855425
entropy,10,5,2,log2,0.5,0.7942622950819672,0.04464225032967418,0.3558080808080808,0.10823439714826502,0.36444444444444446,0.10255982897079399,0.3579733647845103,0.10008109589405502,0.2372097606877702,0.12668556215855425
entropy,10,5,2,log2,0.6,0.804153005464481,0.03036194118142545,0.3338383838383838,0.10952727913635377,0.27555555555555555,0.14107173553870112,0.29509671614934774,0.12371497948019683,0.18915882706694914,0.12620842179838715
entropy,10,5,2,log2,0.7000000000000001,0.804153005464481,0.02798139709548917,0.3268253968253968,0.09026779117971483,0.25555555555555554,0.12521586299538495,0.281006588870366,0.1073898941584589,0.17600112224492695,0.10905226234278709
entropy,10,5,2,log2,0.8,0.8074863387978143,0.030704961309033125,0.33444444444444443,0.09030127899235052,0.23555555555555557,0.12432533982843878,0.26756121071910544,0.10009251222952226,0.17066729829087582,0.10307124921704991
entropy,10,5,2,log2,0.9,0.804153005464481,0.03036194118142546,0.3044444444444444,0.08796393761643266,0.21555555555555556,0.13868874468115489,0.24279930595720067,0.11462830007543869,0.1448643920862782,0.11306852750944556
entropy,10,5,2,sqrt,0.1,0.7972131147540984,0.06848702790405946,0.41689560439560436,0.19106619469688338,0.4288888888888889,0.12110601416389968,0.40670807453416147,0.12923655672088782,0.2975233926701376,0.16708106955127747
entropy,10,5,2,sqrt,0.2,0.7972131147540984,0.06848702790405946,0.41689560439560436,0.19106619469688338,0.4288888888888889,0.12110601416389968,0.40670807453416147,0.12923655672088782,0.2975233926701376,0.16708106955127747
entropy,10,5,2,sqrt,0.30000000000000004,0.7972131147540984,0.06848702790405946,0.41689560439560436,0.19106619469688338,0.4288888888888889,0.12110601416389968,0.40670807453416147,0.12923655672088782,0.2975233926701376,0.16708106955127747
