criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,10,5,2,None,0.955111917725348,0.9134615384615385,0.8222222222222222,0.8396544631838749,0.8321592184155057,0.42169144166675526
gini,10,10,2,None,0.9585601935874168,0.9134615384615385,0.8444444444444444,0.8594346829640948,0.8484841664213368,0.42169146944474456
gini,10,5,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.4216914850694593
gini,10,10,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.4216914989584539
gini,10,5,2,sqrt,0.9306110102843315,0.7816450216450217,0.7777777777777777,0.7749896800825594,0.7373613520910253,0.42169151250022374
gini,10,10,2,sqrt,0.8958257713248639,0.6883116883116883,0.6,0.6183333333333333,0.5749759833785915,0.4216915253475438
gini,10,5,5,sqrt,0.8333938294010889,0.4681385281385282,0.5333333333333333,0.4921777269260107,0.39933163270834576,0.4216915388889093
gini,10,10,5,sqrt,0.8333938294010889,0.4681385281385282,0.5333333333333333,0.4921777269260107,0.39933163270834576,0.4216915517362294
gini,10,5,2,log2,0.8680580762250454,0.8099999999999999,0.3333333333333333,0.40087912087912086,0.41944064912592405,0.4216915642363246
gini,10,10,2,log2,0.8646098003629763,0.9,0.17777777777777776,0.26461538461538464,0.3021769693808667,0.42169157777809435
gini,10,5,5,log2,0.8507562008469449,1.0,0.04444444444444444,0.07272727272727272,0.08807710121010884,0.4216915913194599
gini,10,10,5,log2,0.8507562008469449,1.0,0.04444444444444444,0.07272727272727272,0.08807710121010884,0.42169160381955506
gini,20,5,2,None,0.955111917725348,0.9134615384615385,0.8222222222222222,0.8396544631838749,0.8321592184155057,0.42169161527797566
gini,20,10,2,None,0.9585601935874168,0.9134615384615385,0.8444444444444444,0.8594346829640948,0.8484841664213368,0.4216916281252957
gini,20,5,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.42169164062498665
gini,20,10,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.42169165312508183
gini,20,5,2,sqrt,0.9165154264972777,0.7543434343434343,0.6888888888888889,0.7096031746031746,0.6692757355555651,0.42169166527795215
gini,20,10,2,sqrt,0.902843315184513,0.701010101010101,0.6444444444444444,0.6488888888888888,0.6080137266288658,0.4216916774308225
gini,20,5,5,sqrt,0.8713248638838476,0.5836940836940837,0.6444444444444445,0.6056280193236716,0.535421711453704,0.4216916906249632
gini,20,10,5,sqrt,0.8713248638838476,0.5836940836940837,0.6444444444444445,0.6056280193236716,0.535421711453704,0.4216917027778335
gini,20,5,2,log2,0.8784633998790078,0.7809523809523811,0.4444444444444445,0.5203463203463203,0.5064575957527262,0.4216917145834789
gini,20,10,2,log2,0.8715668481548698,0.8476190476190476,0.28888888888888886,0.3793939393939394,0.3778987217705899,0.42169172743079897
gini,20,5,5,log2,0.8507562008469449,1.0,0.04444444444444444,0.07272727272727272,0.08807710121010884,0.42169173923644443
gini,20,10,5,log2,0.8507562008469449,1.0,0.04444444444444444,0.07272727272727272,0.08807710121010884,0.4216917513889105
gini,30,5,2,None,0.955111917725348,0.9134615384615385,0.8222222222222222,0.8396544631838749,0.8321592184155057,0.4216917628473311
gini,30,10,2,None,0.9585601935874168,0.9134615384615385,0.8444444444444444,0.8594346829640948,0.8484841664213368,0.4216917753474263
gini,30,5,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.42169178888919606
gini,30,10,5,None,0.9445251058681186,0.8804545454545455,0.7777777777777778,0.8109840778416629,0.7905357911971642,0.42169180104166215
gini,30,5,2,sqrt,0.9165154264972777,0.7543434343434343,0.6888888888888889,0.7096031746031746,0.6692757355555651,0.42169181388898225
gini,30,10,2,sqrt,0.902843315184513,0.701010101010101,0.6444444444444444,0.6488888888888888,0.6080137266288658,0.4216918260418525
gini,30,5,5,sqrt,0.8713248638838476,0.5836940836940837,0.6444444444444445,0.6056280193236716,0.535421711453704,0.42169183923639747
gini,30,10,5,sqrt,0.8713248638838476,0.5836940836940837,0.6444444444444445,0.6056280193236716,0.535421711453704,0.42169185138886356
gini,30,5,2,log2,0.8784633998790078,0.7809523809523811,0.4444444444444445,0.5203463203463203,0.5064575957527262,0.42169186388895874
gini,30,10,2,log2,0.8715668481548698,0.8476190476190476,0.28888888888888886,0.3793939393939394,0.3778987217705899,0.42169187708350364
gini,30,5,5,log2,0.8507562008469449,1.0,0.04444444444444444,0.07272727272727272,0.08807710121010884,0.42169188923637396
