learning_rate,max_depth,n_estimators,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.01,3,50,0.1,0.15050847457627117,0.0010526423786578374,0.15050847457627117,0.0010526423786578374,1.0,0.0,0.2616368286445013,0.0015883861979747258,0.0,0.0
0.01,3,50,0.2,0.7993785310734464,0.049794175616319034,0.4080489101541733,0.0873896856902217,0.6,0.17213259316477408,0.47236597240227,0.07750748234397603,0.3770638433301658,0.1025341529620327
0.01,3,50,0.30000000000000004,0.8595480225988701,0.008114631996065358,0.6533333333333334,0.19098740920854043,0.24444444444444444,0.08606629658238704,0.33391941391941393,0.08274089732039523,0.3220254912532853,0.03939750989050917
0.01,3,50,0.4,0.8561581920903955,0.008933115353787753,0.8200000000000001,0.23052734575936348,0.1111111111111111,0.12598815766974242,0.16207792207792207,0.163915302498799,0.17438194662083156,0.16136608878912742
0.01,3,50,0.5,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,50,0.6,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,50,0.7000000000000001,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,50,0.8,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,50,0.9,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,100,0.1,0.5584745762711864,0.0957168103008842,0.2519617700452615,0.04566602482312215,0.9333333333333333,0.056343616981901136,0.3950704056803223,0.05786381978052802,0.31188186879832813,0.08182279631345621
0.01,3,100,0.2,0.8262146892655368,0.04123384312694518,0.45555555555555555,0.07628961803617726,0.5777777777777777,0.13412463602715943,0.4995169082125604,0.07195125868870615,0.4090481390385545,0.08652269704442761
0.01,3,100,0.30000000000000004,0.8796045197740112,0.006742736412597086,0.711111111111111,0.15600841111499195,0.4222222222222222,0.11268723396380222,0.5038383838383839,0.07310627556062277,0.4731182111047655,0.016490412134496608
0.01,3,100,0.4,0.8662146892655367,0.010950941515082468,0.7533333333333334,0.21558337244831866,0.2,0.08606629658238706,0.30147186147186145,0.09890192154785085,0.3290976363305823,0.0894875574385487
0.01,3,100,0.5,0.8662146892655367,0.01095094151508247,0.92,0.16561573424216502,0.15555555555555553,0.11728859175816612,0.23844155844155843,0.1546653001896841,0.2882854894290832,0.15771267740386913
0.01,3,100,0.6,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,100,0.7000000000000001,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,100,0.8,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,100,0.9,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,200,0.1,0.7424858757062147,0.06028124533051126,0.3639283946543475,0.05329016460020212,0.8888888888888888,0.07273929674533079,0.5144028034491123,0.060989302825426764,0.4517115736660847,0.07974967985235341
0.01,3,200,0.2,0.862994350282486,0.04388893982699551,0.5653318903318904,0.11706194756848785,0.6444444444444444,0.08606629658238703,0.592111111111111,0.07562473490267933,0.5200870691400313,0.09260045096631966
0.01,3,200,0.30000000000000004,0.8829943502824859,0.024158311758711408,0.7642857142857142,0.21631690390594052,0.4,0.056343616981901094,0.509502262443439,0.05708355971796008,0.4888461201050856,0.09372920028294672
0.01,3,200,0.4,0.8795480225988701,0.020458520127646707,0.7866666666666666,0.1820517979665599,0.31111111111111106,0.1341246360271594,0.4221245421245421,0.15140881589456737,0.4279909453104197,0.1241049973311861
0.01,3,200,0.5,0.8762146892655367,0.01417874894056388,0.92,0.16561573424216502,0.2222222222222222,0.10286889997472792,0.33844155844155843,0.12523529164680264,0.3975092256836332,0.09234522432399495
0.01,3,200,0.6,0.8628813559322034,0.012818492800549256,0.9,0.2070196678027063,0.13333333333333333,0.08606629658238704,0.21426573426573428,0.1287497046622334,0.26468311306290676,0.15040989458387363
