distance,k,sigma,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
cosine,3,0.5,0.3,81.0,75.0,20.0,19.0,0.5103324723204585,0.5483333333333335,0.4982905982905983,913613,0.24434838999962583,0.0016079266666643405
cosine,7,0.5,0.3,81.0,75.0,20.0,19.0,0.5793686421294455,0.6649999999999999,0.5794871794871794,913613,0.27917850333445426,0.0018337150427471033
euclidean,3,0.5,0.3,81.0,75.0,20.0,19.0,0.45733832467789964,0.49,0.44444444444444464,913613,0.26136333333452044,0.001952569658132211
euclidean,7,0.5,0.3,81.0,75.0,20.0,19.0,0.49916839254296225,0.625,0.4854700854700855,913613,0.2725381366658741,0.0020425564957097073
