kernel,C,sigma,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
rbf,1.0,0,0.3,37.6,37.6,9.4,9.4,0.6952380952380952,0.4533333333333333,0.639766081871345,379617,0.4726371799595654,0.00629948055259833
rbf,1.0,0,0.5,37.6,37.6,9.4,9.4,0.6857575757575758,0.4955555555555556,0.6403508771929824,164544,0.41886862003011627,0.005576501261657913
rbf,1.0,100,0.1,37.6,37.6,9.4,9.4,0.6430952380952382,0.4133333333333333,0.6081871345029239,75808,0.294995200028643,0.003931299467710049
rbf,1.0,100,0.3,37.6,37.6,9.4,9.4,0.7628571428571428,0.3888888888888889,0.6391812865497075,75808,0.44621339997975157,0.005938721871779408
rbf,1.0,100,0.5,37.6,37.6,9.4,9.4,0.5966666666666667,0.40888888888888886,0.5748538011695907,75808,0.4157861200044863,0.005532587067653071
rbf,1.0,200,0.1,37.6,37.6,9.4,9.4,0.7433333333333334,0.3644444444444444,0.6286549707602338,151008,0.4190884600044228,0.005580273514391136
rbf,1.0,200,0.3,37.6,37.6,9.4,9.4,0.7309523809523809,0.3844444444444444,0.6280701754385964,151008,0.4015750599675812,0.005350401757625656
rbf,1.0,200,0.5,37.6,37.6,9.4,9.4,0.7595238095238096,0.4311111111111111,0.6614035087719299,151008,0.3600061599863693,0.00479512004464865
poly,1.0,0,0.1,37.6,37.6,9.4,9.4,0.7,0.08666666666666666,0.5321637426900585,2928897,1.8205335200182162,0.02417781828548998
poly,1.0,0,0.3,37.6,37.6,9.4,9.4,0.7,0.08444444444444445,0.5321637426900585,379617,0.4618011799757369,0.006135380211490573
poly,1.0,0,0.5,37.6,37.6,9.4,9.4,0.39473684210526316,0.2422222222222222,0.5,164544,0.4354754799976945,0.005785505615732556
poly,1.0,100,0.1,37.6,37.6,9.4,9.4,0.4,0.04444444444444444,0.5105263157894736,75808,0.3706197599763982,0.004919699441693107
poly,1.0,100,0.3,37.6,37.6,9.4,9.4,0.4,0.042222222222222223,0.5,75808,0.3692754399962723,0.004904585342547152
poly,1.0,100,0.5,37.6,37.6,9.4,9.4,0.5,0.06444444444444444,0.5105263157894736,75808,0.4341586200054735,0.005767500365737393
poly,1.0,200,0.1,37.6,37.6,9.4,9.4,0.4333333333333333,0.08666666666666667,0.5210526315789473,151008,0.47910433999495583,0.006367323415294246
poly,1.0,200,0.3,37.6,37.6,9.4,9.4,0.5,0.08666666666666667,0.5210526315789473,151008,0.4018730599898845,0.005333917671702448
poly,1.0,200,0.5,37.6,37.6,9.4,9.4,0.5,0.08888888888888888,0.5216374269005847,151008,0.4230522400117479,0.005619426290405992
sigmoid,1.0,0,0.1,37.6,37.6,9.4,9.4,0.7814285714285714,0.45555555555555555,0.6707602339181287,2928897,1.9947664999985135,0.02648812339089307
sigmoid,1.0,0,0.3,37.6,37.6,9.4,9.4,0.8099999999999999,0.36666666666666664,0.6497076023391812,379617,0.4368455600226298,0.00578663888732717
sigmoid,1.0,0,0.5,37.6,37.6,9.4,9.4,0.6069079939668175,0.5844444444444444,0.5847953216374269,164544,0.5178030000417493,0.0068764377601550864
sigmoid,1.0,100,0.1,37.6,37.6,9.4,9.4,0.5797619047619047,0.5155555555555555,0.5619883040935673,75808,0.34677902000257743,0.0046102581053027655
sigmoid,1.0,100,0.3,37.6,37.6,9.4,9.4,0.6790909090909091,0.3244444444444444,0.5643274853801169,75808,0.4319645800162107,0.00573693892958549
sigmoid,1.0,100,0.5,37.6,37.6,9.4,9.4,0.7628571428571429,0.3422222222222222,0.6181286549707602,75808,0.3833914799848571,0.005091719104362123
sigmoid,1.0,200,0.1,37.6,37.6,9.4,9.4,0.5660353535353535,0.5444444444444445,0.5637426900584795,151008,0.35908862000796943,0.004765686098643144
sigmoid,1.0,200,0.3,37.6,37.6,9.4,9.4,0.7133333333333333,0.4111111111111111,0.6181286549707602,151008,0.45783655997365713,0.0060815726853587285
sigmoid,1.0,200,0.5,37.6,37.6,9.4,9.4,0.7166666666666666,0.3911111111111111,0.6181286549707602,151008,0.3833969200029969,0.005092008029376614
linear,10.0,0,0.1,37.6,37.6,9.4,9.4,0.7748917748917749,0.5577777777777777,0.6812865497076024,2928897,1.854855240008328,0.024575228817431616
linear,10.0,0,0.3,37.6,37.6,9.4,9.4,0.7371212121212122,0.6199999999999999,0.6918128654970761,379617,0.5387416999903507,0.007155012063244143
linear,10.0,0,0.5,37.6,37.6,9.4,9.4,0.7697402597402597,0.7088888888888889,0.7444444444444445,164544,0.47699333997443316,0.006334326166186342
linear,10.0,100,0.1,37.6,37.6,9.4,9.4,0.659090909090909,0.5066666666666666,0.6163742690058479,75808,0.3570668400148861,0.004718984921827971
linear,10.0,100,0.3,37.6,37.6,9.4,9.4,0.6728571428571428,0.5733333333333334,0.647953216374269,75808,0.44140402001794427,0.005856120797033558
linear,10.0,100,0.5,37.6,37.6,9.4,9.4,0.76,0.6444444444444445,0.7128654970760234,75808,0.5097327999770641,0.006512105248718865
linear,10.0,200,0.1,37.6,37.6,9.4,9.4,0.7414102564102564,0.6622222222222222,0.7017543859649122,151008,0.5079287599539384,0.006741883681833982
linear,10.0,200,0.3,37.6,37.6,9.4,9.4,0.7063492063492063,0.6,0.6391812865497076,151008,0.3379782800213434,0.0044839672123240335
linear,10.0,200,0.5,37.6,37.6,9.4,9.4,0.7775335775335775,0.6644444444444444,0.7140350877192982,151008,0.4439962599775754,0.005887912794422488
rbf,10.0,0,0.1,37.6,37.6,9.4,9.4,0.8111904761904762,0.6066666666666667,0.7350877192982457,2928897,1.985034959972836,0.026588054774641507
rbf,10.0,0,0.3,37.6,37.6,9.4,9.4,0.7778571428571428,0.6044444444444445,0.7140350877192982,379617,0.5279848199803382,0.007027559824821168
rbf,10.0,0,0.5,37.6,37.6,9.4,9.4,0.760079365079365,0.5822222222222223,0.7023391812865498,164544,0.5304927800083533,0.007059543190915481
rbf,10.0,100,0.1,37.6,37.6,9.4,9.4,0.8333333333333333,0.5599999999999999,0.723391812865497,75808,0.38076003999449315,0.005063869816127282
rbf,10.0,100,0.3,37.6,37.6,9.4,9.4,0.8045238095238094,0.5155555555555555,0.6918128654970761,75808,0.514680019998923,0.006847855882714292
rbf,10.0,100,0.5,37.6,37.6,9.4,9.4,0.7064285714285714,0.5644444444444444,0.671345029239766,75808,0.3971610600245185,0.0052840655828469574
rbf,10.0,200,0.1,37.6,37.6,9.4,9.4,0.8077777777777777,0.6466666666666667,0.7450292397660818,151008,0.4641365799936466,0.006173181316018182
rbf,10.0,200,0.3,37.6,37.6,9.4,9.4,0.7812409812409812,0.6244444444444444,0.7134502923976608,151008,0.4348871999653056,0.00578674905122009
rbf,10.0,200,0.5,37.6,37.6,9.4,9.4,0.7860894660894662,0.6488888888888888,0.7350877192982457,151008,0.49803165999474003,0.0066207727890333235
poly,10.0,0,0.1,37.6,37.6,9.4,9.4,0.6666666666666666,0.1511111111111111,0.5321637426900585,2928897,2.0980489199748265,0.02786154742139591
poly,10.0,0,0.3,37.6,37.6,9.4,9.4,0.8,0.10666666666666666,0.5321637426900585,379617,0.5043021399877035,0.006691875556966416
poly,10.0,0,0.5,37.6,37.6,9.4,9.4,0.8,0.1288888888888889,0.5426900584795321,164544,0.4477111199870706,0.0059421933942732956
poly,10.0,100,0.1,37.6,37.6,9.4,9.4,0.7,0.19333333333333333,0.5538011695906433,75808,0.39760520003037525,0.005277752079086649
poly,10.0,100,0.3,37.6,37.6,9.4,9.4,0.6833333333333333,0.21777777777777776,0.5649122807017544,75808,0.30552246000152083,0.004056162683179111
poly,10.0,100,0.5,37.6,37.6,9.4,9.4,0.6,0.1288888888888889,0.5222222222222223,75808,0.37562584000406785,0.004931423667003908
poly,10.0,200,0.1,37.6,37.6,9.4,9.4,0.6666666666666666,0.1488888888888889,0.5321637426900585,151008,0.43333069999935103,0.005757009797576792
poly,10.0,200,0.3,37.6,37.6,9.4,9.4,0.5333333333333333,0.10444444444444445,0.5111111111111111,151008,0.48326821996597574,0.006411956819568696
poly,10.0,200,0.5,37.6,37.6,9.4,9.4,0.7666666666666666,0.17111111111111113,0.5532163742690057,151008,0.3618514599977061,0.004802489786672062
sigmoid,10.0,0,0.1,37.6,37.6,9.4,9.4,0.5476190476190477,0.5511111111111111,0.5526315789473684,2928897,1.9353806999861263,0.02570529393881234
sigmoid,10.0,0,0.3,37.6,37.6,9.4,9.4,0.6031746031746031,0.5955555555555556,0.6052631578947368,379617,0.4612988999579102,0.006126524338708338
sigmoid,10.0,0,0.5,37.6,37.6,9.4,9.4,0.5906060606060606,0.5755555555555555,0.5830409356725146,164544,0.325804879993666,0.0043253742132513895
sigmoid,10.0,100,0.1,37.6,37.6,9.4,9.4,0.6166666666666667,0.5777777777777777,0.6076023391812866,75808,0.47798201999394224,0.006348567492626337
sigmoid,10.0,100,0.3,37.6,37.6,9.4,9.4,0.543939393939394,0.5977777777777777,0.5526315789473684,75808,0.442502759990748,0.005873952188715176
sigmoid,10.0,100,0.5,37.6,37.6,9.4,9.4,0.519047619047619,0.44666666666666666,0.5309941520467836,75808,0.47294680000049993,0.006281982345448291
sigmoid,10.0,200,0.1,37.6,37.6,9.4,9.4,0.5344444444444445,0.5133333333333333,0.5532163742690057,151008,0.43560882000019774,0.005780519200883205
sigmoid,10.0,200,0.3,37.6,37.6,9.4,9.4,0.5033333333333333,0.5333333333333333,0.5198830409356725,151008,0.47646506000310185,0.006327716464641335
sigmoid,10.0,200,0.5,37.6,37.6,9.4,9.4,0.5199999999999999,0.47111111111111115,0.52046783625731,151008,0.4723149199853651,0.006273872628489499
