kernel,C,sigma,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
linear,0.1,0,0.1,37.6,37.6,9.4,9.4,0.8178571428571427,0.6666666666666666,0.7456140350877194,2928897,2.285203160031233,0.030256208384174345
linear,0.1,0,0.3,37.6,37.6,9.4,9.4,0.7019047619047618,0.5577777777777777,0.6608187134502923,379617,0.6223197400104254,0.008260735577204036
linear,0.1,0,0.5,37.6,37.6,9.4,9.4,0.6976007326007327,0.6444444444444445,0.6707602339181287,164544,0.583863020024728,0.00774884161159248
linear,0.1,100,0.1,37.6,37.6,9.4,9.4,0.7778571428571428,0.6644444444444445,0.7339181286549707,75808,0.43068841998465357,0.005725087997635623
linear,0.1,100,0.3,37.6,37.6,9.4,9.4,0.7458513708513708,0.6644444444444444,0.7122807017543858,75808,0.34146062000654637,0.004527740178679613
linear,0.1,100,0.5,37.6,37.6,9.4,9.4,0.8075036075036074,0.5800000000000001,0.6923976608187135,75808,0.4010548399761319,0.00530619175135667
linear,0.1,200,0.1,37.6,37.6,9.4,9.4,0.7022222222222222,0.5511111111111111,0.6678362573099415,151008,0.502701919991523,0.006667779458764378
linear,0.1,200,0.3,37.6,37.6,9.4,9.4,0.77,0.6244444444444444,0.7029239766081872,151008,0.39628934001084415,0.00525528587995389
linear,0.1,200,0.5,37.6,37.6,9.4,9.4,0.8133333333333332,0.6844444444444444,0.7561403508771931,151008,0.44458971996791663,0.005893373073122319
rbf,0.1,0,0.1,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,2928897,2.1298441399936565,0.028642394647511914
rbf,0.1,0,0.3,37.6,37.6,9.4,9.4,0.3894736842105263,0.4666666666666667,0.512280701754386,379617,0.6722443600301631,0.00897812674478531
rbf,0.1,0,0.5,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,164544,0.44654057996813207,0.0059460830186106135
rbf,0.1,100,0.1,37.6,37.6,9.4,9.4,0.3894736842105263,0.4666666666666667,0.512280701754386,75808,0.3920409000129439,0.0052165471387283875
rbf,0.1,100,0.3,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,75808,0.44019926004111765,0.005857433931134727
rbf,0.1,100,0.5,37.6,37.6,9.4,9.4,0.1894736842105263,0.4,0.47894736842105257,75808,0.413895800022874,0.005513936989972483
rbf,0.1,200,0.1,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,151008,0.4677623399882577,0.0062273935431283855
rbf,0.1,200,0.3,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,151008,0.5479639799683355,0.0072989571885770654
rbf,0.1,200,0.5,37.6,37.6,9.4,9.4,0.3894736842105263,0.4444444444444445,0.5011695906432749,151008,0.5035222600214183,0.0066998629881119985
poly,0.1,0,0.1,37.6,37.6,9.4,9.4,0.19473684210526315,0.22222222222222224,0.4894736842105263,2928897,2.4711825999896972,0.03281420881127557
poly,0.1,0,0.3,37.6,37.6,9.4,9.4,0.19473684210526315,0.22222222222222224,0.4894736842105263,379617,0.6678425999707542,0.008869517723534424
poly,0.1,0,0.5,37.6,37.6,9.4,9.4,0.19473684210526315,0.22222222222222224,0.4894736842105263,164544,0.5018958199885674,0.00666448858173563
poly,0.1,100,0.1,37.6,37.6,9.4,9.4,0.29473684210526313,0.22222222222222224,0.5,75808,0.38035049999598414,0.005050446257657945
poly,0.1,100,0.3,37.6,37.6,9.4,9.4,0.39473684210526316,0.4222222222222222,0.5,75808,0.45884050000458954,0.006087865889328743
poly,0.1,100,0.5,37.6,37.6,9.4,9.4,0.29473684210526313,0.22222222222222224,0.5,75808,0.5293281199759804,0.007032103800774582
poly,0.1,200,0.1,37.6,37.6,9.4,9.4,0.19473684210526315,0.22222222222222224,0.4894736842105263,151008,0.4712830600212328,0.006261724179463124
poly,0.1,200,0.3,37.6,37.6,9.4,9.4,0.39473684210526316,0.24444444444444446,0.5005847953216375,151008,0.44014977996703236,0.005845409557437407
poly,0.1,200,0.5,37.6,37.6,9.4,9.4,0.19473684210526315,0.22222222222222224,0.4894736842105263,151008,0.5159625799977221,0.006842054535491676
sigmoid,0.1,0,0.1,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,2928897,2.0955048400093803,0.027811555700663924
sigmoid,0.1,0,0.3,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,379617,0.5924863999709487,0.007857922675001197
sigmoid,0.1,0,0.5,37.6,37.6,9.4,9.4,0.3494736842105263,0.48888888888888893,0.512280701754386,164544,0.5113017200375907,0.00680341570707952
sigmoid,0.1,100,0.1,37.6,37.6,9.4,9.4,0.3894736842105263,0.5333333333333333,0.5456140350877192,75808,0.44989012004807594,0.0059744426794135766
sigmoid,0.1,100,0.3,37.6,37.6,9.4,9.4,0.28947368421052627,0.6,0.47894736842105257,75808,0.3936589600285515,0.005227497432444822
sigmoid,0.1,100,0.5,37.6,37.6,9.4,9.4,0.3894736842105263,0.48888888888888893,0.5233918128654971,75808,0.3574788800207898,0.004746187240236241
sigmoid,0.1,200,0.1,37.6,37.6,9.4,9.4,0.2953560371517028,0.6,0.49005847953216375,151008,0.4209930600016378,0.005590283577412105
sigmoid,0.1,200,0.3,37.6,37.6,9.4,9.4,0.356140350877193,0.5111111111111111,0.5233918128654971,151008,0.5089819399872795,0.006757102911584644
sigmoid,0.1,200,0.5,37.6,37.6,9.4,9.4,0.3894736842105263,0.4666666666666667,0.512280701754386,151008,0.47211714001605287,0.006268845713775939
linear,1.0,0,0.1,37.6,37.6,9.4,9.4,0.7487012987012986,0.6,0.691812865497076,2928897,2.1481009399751203,0.028456032403065386
linear,1.0,0,0.3,37.6,37.6,9.4,9.4,0.7494227994227994,0.64,0.7116959064327486,379617,0.5325417399755679,0.007066633099362084
linear,1.0,0,0.5,37.6,37.6,9.4,9.4,0.805,0.6666666666666666,0.7444444444444445,164544,0.5221808200003579,0.00692593724995502
linear,1.0,100,0.1,37.6,37.6,9.4,9.4,0.7405844155844156,0.6622222222222222,0.7017543859649122,75808,0.3909711999702267,0.005143672494191594
linear,1.0,100,0.3,37.6,37.6,9.4,9.4,0.672985347985348,0.6644444444444444,0.6701754385964912,75808,0.4403750600060448,0.0058343877808871795
linear,1.0,100,0.5,37.6,37.6,9.4,9.4,0.698939393939394,0.6622222222222222,0.6812865497076024,75808,0.37133351995144037,0.00492032871767557
linear,1.0,200,0.1,37.6,37.6,9.4,9.4,0.7630769230769231,0.6622222222222222,0.7023391812865497,151008,0.48593695999588815,0.0064403664758419955
linear,1.0,200,0.3,37.6,37.6,9.4,9.4,0.6909340659340659,0.5777777777777777,0.6485380116959064,151008,0.47528692001942546,0.006305938537018751
linear,1.0,200,0.5,37.6,37.6,9.4,9.4,0.8098901098901099,0.6866666666666668,0.7450292397660819,151008,0.48599432001356035,0.0064497264006638435
rbf,1.0,0,0.1,37.6,37.6,9.4,9.4,0.7361904761904763,0.4533333333333333,0.6614035087719298,2928897,2.119216879969463,0.028345381018412608
