eta,max_depth,n_estimators,accuracy,precision,recall,f1,preparationTime
0.1,3,50,0.6152046783625732,0.6603174603174603,0.5533333333333333,0.59546783625731,0.005711613829802484
0.1,3,100,0.6473684210526315,0.6936507936507936,0.5733333333333335,0.6217492260061919,0.005711613829802484
0.1,3,200,0.67953216374269,0.7702020202020202,0.5977777777777777,0.6577777777777778,0.005711613829802484
0.1,5,50,0.6467836257309942,0.6522222222222223,0.6355555555555554,0.6426969384244927,0.005711613829802484
0.1,5,100,0.6690058479532164,0.686984126984127,0.6355555555555554,0.6585380116959063,0.005711613829802484
0.1,5,200,0.6900584795321636,0.7295238095238096,0.6377777777777777,0.6759717922256622,0.005711613829802484
0.1,7,50,0.6467836257309942,0.6522222222222223,0.6355555555555554,0.6426969384244927,0.005711613829802484
0.1,7,100,0.6690058479532164,0.686984126984127,0.6355555555555554,0.6585380116959063,0.005711613829802484
0.1,7,200,0.6900584795321636,0.7295238095238096,0.6377777777777777,0.6759717922256622,0.005711613829802484
0.3,3,50,0.646783625730994,0.674963924963925,0.6155555555555555,0.638610251117991,0.005711613829802484
0.3,3,100,0.6684210526315789,0.7075036075036075,0.6377777777777777,0.6638080495356037,0.005711613829802484
0.3,3,200,0.6684210526315789,0.7075036075036075,0.6377777777777777,0.6638080495356037,0.005711613829802484
0.3,5,50,0.6789473684210525,0.6883838383838383,0.6599999999999999,0.670374957000344,0.005711613829802484
0.3,5,100,0.6783625730994152,0.7125901875901877,0.64,0.6681045751633986,0.005711613829802484
0.3,5,200,0.6783625730994152,0.7125901875901877,0.64,0.6681045751633986,0.005711613829802484
0.3,7,50,0.6789473684210525,0.6883838383838383,0.6599999999999999,0.670374957000344,0.005711613829802484
0.3,7,100,0.6783625730994152,0.7125901875901877,0.64,0.6681045751633986,0.005711613829802484
0.3,7,200,0.6783625730994152,0.7125901875901877,0.64,0.6681045751633986,0.005711613829802484
0.5,3,50,0.6701754385964912,0.6992507492507493,0.6622222222222222,0.6667825311942959,0.005711613829802484
0.5,3,100,0.6701754385964912,0.6992507492507493,0.6622222222222222,0.6667825311942959,0.005711613829802484
0.5,3,200,0.6701754385964912,0.6992507492507493,0.6622222222222222,0.6667825311942959,0.005711613829802484
0.5,5,50,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
0.5,5,100,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
0.5,5,200,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
0.5,7,50,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
0.5,7,100,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
0.5,7,200,0.712280701754386,0.718974358974359,0.7444444444444444,0.7275704412546518,0.005711613829802484
