distance,k,sigma,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
cosine,3,0.5,0.1,37.6,37.6,9.4,9.4,0.7668109668109668,0.7022222222222221,0.7450292397660818,2928897,2.185611739999149,0.030241468800330025
cosine,3,0.5,0.3,37.6,37.6,9.4,9.4,0.8184126984126984,0.7266666666666667,0.7771929824561403,379617,0.6605885600321926,0.009074749724875559
cosine,3,0.5,0.5,37.6,37.6,9.4,9.4,0.7975396825396825,0.7244444444444443,0.7660818713450294,164544,0.41050131994998085,0.005902373712132017
cosine,3,0.5,0.1,37.6,37.6,9.4,9.4,0.7007215007215007,0.6444444444444444,0.6619883040935672,75808,0.4209198400028981,0.005974215022968184
cosine,3,0.5,0.3,37.6,37.6,9.4,9.4,0.7342857142857143,0.5977777777777777,0.680701754385965,75808,0.41423312000697476,0.0057555484378459965
cosine,3,0.5,0.5,37.6,37.6,9.4,9.4,0.8121212121212121,0.7666666666666666,0.7883040935672514,75808,0.3942595000029542,0.005516516524595317
cosine,3,0.5,0.1,37.6,37.6,9.4,9.4,0.7291558441558441,0.7266666666666667,0.7239766081871345,151008,0.5137897000066005,0.007182916139352545
cosine,3,0.5,0.3,37.6,37.6,9.4,9.4,0.7447619047619048,0.6844444444444444,0.7239766081871345,151008,0.542189439991489,0.00752640886834569
cosine,3,0.5,0.5,37.6,37.6,9.4,9.4,0.6939393939393939,0.6866666666666666,0.6923976608187135,151008,0.44921187999425455,0.006342676382032142
cosine,5,0.5,0.1,37.6,37.6,9.4,9.4,0.8206349206349206,0.6399999999999999,0.7456140350877194,2928897,2.207922699977644,0.030318646843970305
cosine,5,0.5,0.3,37.6,37.6,9.4,9.4,0.7948412698412699,0.6644444444444444,0.7450292397660819,379617,0.6752024799701758,0.009305603513229205
cosine,5,0.5,0.5,37.6,37.6,9.4,9.4,0.776984126984127,0.6,0.7029239766081872,164544,0.6325025400146842,0.008924846970534295
cosine,5,0.5,0.1,37.6,37.6,9.4,9.4,0.8480952380952381,0.6399999999999999,0.7555555555555555,75808,0.43131765997968613,0.006126133991043158
cosine,5,0.5,0.3,37.6,37.6,9.4,9.4,0.8095238095238095,0.5355555555555556,0.7035087719298245,75808,0.4187085799989291,0.0058864794705350545
cosine,5,0.5,0.5,37.6,37.6,9.4,9.4,0.8442063492063493,0.6799999999999999,0.7660818713450291,75808,0.5664850600063801,0.007830687418223986
cosine,5,0.5,0.1,37.6,37.6,9.4,9.4,0.7833333333333333,0.5755555555555555,0.7029239766081871,151008,0.456559179991018,0.006528173309595403
cosine,5,0.5,0.3,37.6,37.6,9.4,9.4,0.7919841269841269,0.6622222222222222,0.7350877192982457,151008,0.49937388001708316,0.006973414895474777
cosine,5,0.5,0.5,37.6,37.6,9.4,9.4,0.7943434343434344,0.7022222222222222,0.7444444444444445,151008,0.4526662600110285,0.006487952249484277
cosine,7,0.5,0.1,37.6,37.6,9.4,9.4,0.84484126984127,0.64,0.7555555555555555,2928897,2.23306746003218,0.03092215209888292
cosine,7,0.5,0.3,37.6,37.6,9.4,9.4,0.8095238095238095,0.5777777777777777,0.7134502923976609,379617,0.5948104199720546,0.008262787832154516
cosine,7,0.5,0.5,37.6,37.6,9.4,9.4,0.8297619047619047,0.5733333333333335,0.723391812865497,164544,0.4253505399916321,0.0058408464055281365
cosine,7,0.5,0.1,37.6,37.6,9.4,9.4,0.6873015873015873,0.6,0.6596491228070176,75808,0.5169583200127817,0.007418133883716431
cosine,7,0.5,0.3,37.6,37.6,9.4,9.4,0.7031746031746031,0.6822222222222221,0.7046783625730993,75808,0.4465484199579805,0.006268304346292515
cosine,7,0.5,0.5,37.6,37.6,9.4,9.4,0.8433333333333334,0.5133333333333333,0.7023391812865498,75808,0.4092373400228098,0.005720457667095958
cosine,7,0.5,0.1,37.6,37.6,9.4,9.4,0.8283333333333334,0.49333333333333335,0.691812865497076,151008,0.42259248001500965,0.005840466276944612
cosine,7,0.5,0.3,37.6,37.6,9.4,9.4,0.8334126984126984,0.6244444444444445,0.7456140350877193,151008,0.44785915997345,0.006135107810106474
cosine,7,0.5,0.5,37.6,37.6,9.4,9.4,0.8511904761904763,0.47333333333333333,0.6912280701754385,151008,0.4620348400203511,0.006477031531453341
euclidean,3,0.5,0.1,37.6,37.6,9.4,9.4,0.9142857142857143,0.45111111111111113,0.6918128654970761,2928897,1.993682319961954,0.02971123376828928
euclidean,3,0.5,0.3,37.6,37.6,9.4,9.4,0.7980952380952381,0.4311111111111111,0.660233918128655,379617,0.6952575800358318,0.011319125190736636
euclidean,3,0.5,0.5,37.6,37.6,9.4,9.4,0.8207142857142857,0.5355555555555556,0.7017543859649122,164544,0.4604388400330208,0.009045168211948793
euclidean,3,0.5,0.1,37.6,37.6,9.4,9.4,0.7866666666666667,0.40888888888888886,0.6385964912280702,75808,0.3695818400126882,0.007356393335958425
euclidean,3,0.5,0.3,37.6,37.6,9.4,9.4,0.7238095238095237,0.47333333333333333,0.6374269005847953,75808,0.3431461199768819,0.0070252024477702735
euclidean,3,0.5,0.5,37.6,37.6,9.4,9.4,0.8761904761904763,0.4688888888888888,0.6812865497076024,75808,0.3356079400400631,0.0071420536405252255
euclidean,3,0.5,0.1,37.6,37.6,9.4,9.4,0.8283333333333334,0.4533333333333333,0.6701754385964912,151008,0.5041275199968368,0.009226608913136692
euclidean,3,0.5,0.3,37.6,37.6,9.4,9.4,0.7414285714285714,0.45111111111111113,0.6596491228070176,151008,0.4347655200283043,0.007992800176594997
euclidean,3,0.5,0.5,37.6,37.6,9.4,9.4,0.7292063492063493,0.49333333333333335,0.6701754385964912,151008,0.46076007998781277,0.008976215900900874
euclidean,5,0.5,0.1,37.6,37.6,9.4,9.4,0.9047619047619048,0.4066666666666666,0.6701754385964912,2928897,2.5703334400313906,0.03711427049121158
euclidean,5,0.5,0.3,37.6,37.6,9.4,9.4,0.8295238095238096,0.5111111111111111,0.6812865497076024,379617,0.597877919988241,0.010463742545745442
euclidean,5,0.5,0.5,37.6,37.6,9.4,9.4,0.8800000000000001,0.27999999999999997,0.6064327485380117,164544,0.5796169199980795,0.010351550867919229
euclidean,5,0.5,0.1,37.6,37.6,9.4,9.4,0.7584126984126984,0.5377777777777778,0.6807017543859649,75808,0.4374815400340594,0.008332256790471667
euclidean,5,0.5,0.3,37.6,37.6,9.4,9.4,0.7198412698412698,0.4533333333333333,0.6380116959064328,75808,0.4222267600125633,0.008417484137480705
euclidean,5,0.5,0.5,37.6,37.6,9.4,9.4,0.6880952380952381,0.4288888888888889,0.6163742690058479,75808,0.42404338001506403,0.008644215395457908
euclidean,5,0.5,0.1,37.6,37.6,9.4,9.4,0.85,0.34444444444444444,0.6280701754385964,151008,0.47584176001837475,0.00906699854969277
euclidean,5,0.5,0.3,37.6,37.6,9.4,9.4,0.8949999999999999,0.3911111111111111,0.6596491228070175,151008,0.5149534200434573,0.009552482176971782
euclidean,5,0.5,0.5,37.6,37.6,9.4,9.4,0.9047619047619048,0.4066666666666666,0.6695906432748538,151008,0.4648442400270142,0.00942976181028811
euclidean,7,0.5,0.1,37.6,37.6,9.4,9.4,0.86,0.40888888888888886,0.660233918128655,2928897,2.412695119995624,0.03524954094801238
euclidean,7,0.5,0.3,37.6,37.6,9.4,9.4,0.8642857142857142,0.4488888888888889,0.6812865497076024,379617,0.7174916599993594,0.012140103376073214
euclidean,7,0.5,0.5,37.6,37.6,9.4,9.4,0.8283333333333334,0.3244444444444444,0.6163742690058479,164544,0.48631232003681363,0.009292101573777967
