C,kernel,accuracy,precision,recall,f1,preparationTime
0.1,linear,0.8069688559975332,0.8044871794871794,0.5750000000000001,0.6616037219485494,0.0009872735142900117
0.1,rbf,0.6643539932161578,0.0,0.0,0.0,0.0009872735142900117
0.1,poly,0.6643539932161578,0.16666666666666666,0.020833333333333332,0.037037037037037035,0.0009872735142900117
0.1,sigmoid,0.6643539932161578,0.0,0.0,0.0,0.0009872735142900117
1.0,linear,0.8069688559975332,0.8044871794871794,0.5750000000000001,0.6616037219485494,0.0009872735142900117
1.0,rbf,0.6856305889608386,0.8333333333333334,0.08472222222222221,0.1525054466230937,0.0009872735142900117
1.0,poly,0.6785383903792784,0.25,0.0625,0.09999999999999999,0.0009872735142900117
1.0,sigmoid,0.664199814986124,0.5,0.08333333333333333,0.13012477718360071,0.0009872735142900117
10.0,linear,0.8069688559975332,0.8044871794871794,0.5750000000000001,0.6616037219485494,0.0009872735142900117
10.0,rbf,0.7711995066296637,0.7700817700817701,0.4444444444444444,0.5604040404040403,0.0009872735142900117
10.0,poly,0.6928769657724329,0.8666666666666667,0.12638888888888888,0.21097883597883596,0.0009872735142900117
10.0,sigmoid,0.6490903484427998,0.4824074074074074,0.40138888888888885,0.4305555555555555,0.0009872735142900117
