C,kernel,accuracy,precision,recall,f1,preparationTime
0.1,linear,0.9052429052429053,0.7916666666666666,0.5333333333333333,0.632716049382716,0.002043948135678104
0.1,rbf,0.840685769257198,0.0,0.0,0.0,0.002043948135678104
0.1,poly,0.8441214869786299,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.002043948135678104
0.1,sigmoid,0.840685769257198,0.0,0.0,0.0,0.002043948135678104
1.0,linear,0.9052429052429053,0.7916666666666666,0.5333333333333333,0.632716049382716,0.002043948135678104
1.0,rbf,0.8440527726242012,0.3333333333333333,0.020833333333333332,0.0392156862745098,0.002043948135678104
1.0,poly,0.8576925719782862,0.8333333333333334,0.12777777777777777,0.22073156748079348,0.002043948135678104
1.0,sigmoid,0.8474541331684189,0.5555555555555555,0.0625,0.10939112487100104,0.002043948135678104
10.0,linear,0.9052429052429053,0.7916666666666666,0.5333333333333333,0.632716049382716,0.002043948135678104
10.0,rbf,0.8848003848003847,0.9027777777777778,0.3194444444444444,0.45843776106934,0.002043948135678104
10.0,poly,0.8542912114340685,0.7222222222222222,0.1486111111111111,0.24600389863547759,0.002043948135678104
10.0,sigmoid,0.810210953068096,0.41111111111111115,0.2347222222222222,0.289928709283548,0.002043948135678104
