n_neighbors,weights,metric,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
11,uniform,euclidean,0.2,0.837213115,0.496536797,0.428888889,0.457046784,0.365453137
20,uniform,cosine,0.2,0.734153005,0.344941636,0.682222222,0.454333333,0.338960863
20,distance,euclidean,0.3,0.870437158,0.697619048,0.342222222,0.450457875,0.422917234
7,distance,euclidean,0.4,0.870437158,0.703333333,0.34,0.45006105,0.42366473
5,uniform,euclidean,0.3,0.837213115,0.508888889,0.406666667,0.446181139,0.358481225
5,uniform,euclidean,0.4,0.837213115,0.508888889,0.406666667,0.446181139,0.358481225
20,distance,euclidean,0.1,0.731092896,0.329527004,0.686666667,0.44434612,0.330159115
9,distance,cosine,0.5,0.877103825,0.803333333,0.317777778,0.444155844,0.446942508
15,distance,euclidean,0.1,0.72431694,0.322675265,0.706666667,0.442179803,0.331694884
11,distance,euclidean,0.1,0.764098361,0.345748988,0.6,0.436158624,0.320916029
9,uniform,cosine,0.3,0.837103825,0.537896825,0.404444444,0.435286935,0.364668564
5,distance,euclidean,0.1,0.757595628,0.340448179,0.602222222,0.433781105,0.314519289
9,uniform,euclidean,0.3,0.84715847,0.548174603,0.362222222,0.427695181,0.358206688
3,uniform,cosine,0.4,0.870437158,0.676190476,0.322222222,0.426831502,0.402753407
3,uniform,cosine,0.5,0.870437158,0.676190476,0.322222222,0.426831502,0.402753407
3,uniform,cosine,0.6,0.870437158,0.676190476,0.322222222,0.426831502,0.402753407
5,uniform,cosine,0.1,0.660983607,0.291765152,0.808888889,0.42680257,0.326448029
5,uniform,cosine,0.2,0.660983607,0.291765152,0.808888889,0.42680257,0.326448029
11,distance,cosine,0.5,0.87715847,0.813333333,0.297777778,0.426646687,0.437874067
3,distance,cosine,0.8,0.883715847,0.933333333,0.275555556,0.424009324,0.46934272
11,uniform,euclidean,0.3,0.860437158,0.657142857,0.32,0.420392157,0.384999298
5,distance,euclidean,0.5,0.873770492,0.834285714,0.297777778,0.419225872,0.435728256
15,uniform,cosine,0.3,0.840382514,0.563760684,0.36,0.417501725,0.354146808
3,distance,cosine,0.7,0.880382514,0.883333333,0.275555556,0.417415917,0.450410887
9,uniform,cosine,0.2,0.730874317,0.318571429,0.622222222,0.417314872,0.294851669
5,uniform,euclidean,0.1,0.737650273,0.318537152,0.602222222,0.415897436,0.289703939
5,uniform,euclidean,0.2,0.737650273,0.318537152,0.602222222,0.415897436,0.289703939
15,uniform,euclidean,0.3,0.85715847,0.603809524,0.322222222,0.414677871,0.366235961
11,uniform,cosine,0.1,0.684262295,0.293820513,0.704444444,0.413079562,0.28994315
20,distance,cosine,0.4,0.877103825,0.866666667,0.295555556,0.411666667,0.438967426
15,uniform,euclidean,0.2,0.77420765,0.34729021,0.493333333,0.40509699,0.279462196
11,uniform,cosine,0.3,0.850437158,0.607619048,0.32,0.404688645,0.357864695
11,distance,euclidean,0.4,0.873825137,0.84,0.275555556,0.403476523,0.425802288
15,distance,cosine,0.4,0.863825137,0.733333333,0.297777778,0.403154623,0.394910674
9,distance,euclidean,0.1,0.687704918,0.285462748,0.686666667,0.401719528,0.279887713
7,uniform,euclidean,0.2,0.797377049,0.376479076,0.428888889,0.398067633,0.280139533
9,uniform,euclidean,0.2,0.777431694,0.344505495,0.473333333,0.398004894,0.271180862
7,uniform,cosine,0.3,0.847103825,0.597619048,0.317777778,0.391774892,0.34715921
7,uniform,cosine,0.4,0.847103825,0.597619048,0.317777778,0.391774892,0.34715921
11,uniform,euclidean,0.1,0.744098361,0.309797637,0.535555556,0.390863372,0.259293876
5,distance,euclidean,0.6,0.877103825,0.92,0.255555556,0.39014319,0.438569231
